tweet_id,user_id,created_at,text,url,mentions,lang,favorites,retweets,replies,quotes,views,hashtags
1237855085079584769,209044761,Wed Mar 11 21:37:05 +0000 2020,Can I convert the small change in my PiggyVest safelock to Dollars,,,en,0,2,1,1,,
1239486158679216129,3159938482,Mon Mar 16 09:38:23 +0000 2020,"I use PiggyVest to save amp invest securely. Sign up with my link and get 1,000.00 to start your own savings journey  Sign up and thank me later ",https://t.co/yXKlYdaYjJ,,en,3,1,0,0,,
1235551955029618689,978744111527268352,Thu Mar 05 13:05:16 +0000 2020,PiggyVest just told me Im doing well. I am not doing well at all. Im in severe pain,,,en,6,1,2,0,,
1237610733795282945,363025475,Wed Mar 11 05:26:07 +0000 2020,If piggyvest should crash lasan mo le yawerey ,,,en,0,0,6,4,,
1238173730758672385,3547318393,Thu Mar 12 18:43:16 +0000 2020,New investments on PiggyVest,,,en,3,2,1,0,,
1237050427889377283,1924874960,Mon Mar 09 16:19:39 +0000 2020,"If theres no money in the account again, what will piggyvest do",,,en,0,0,2,1,,
1236530873643786240,127313436,Sun Mar 08 05:55:08 +0000 2020,"My dear, use Piggyvest instead.",,,en,0,0,1,0,,
1234073163333619712,71535946,Sun Mar 01 11:09:04 +0000 2020,Ahan Han who sent me dollars on piggyvest ,https://t.co/E5T3ghW1wI,,en,4,0,4,2,,
1232699504547319808,232133968,Wed Feb 26 16:10:38 +0000 2020,"PiggyVest, please dont pressure me ",https://t.co/5VC5Z4GdLZ,,en,5,1,1,0,,
1233099705367908354,1022207647095947265,Thu Feb 27 18:40:54 +0000 2020,To put this 1k in my piggyvest or to use it to buy parfait on Saturday,https://t.co/HKgbUtmq7v,@CafeFrosh,en,26,10,5,0,,
1235516918817329154,4714760909,Thu Mar 05 10:46:02 +0000 2020,An equal world is an enabled world. PiggyvestIWD IWD2020 EachForEqual,https://t.co/fxPpmQSk7c,,en,325,91,18,6,,PiggyvestIWD IWD2020 EachForEqual
1233697867245719557,144222790,Sat Feb 29 10:17:47 +0000 2020,Piggyvest family ,https://t.co/NtcalWQYEo,,hu,200,26,7,5,,
1232697708412129280,785193515819171840,Wed Feb 26 16:03:30 +0000 2020,"Please piggyvest, Im not ..leave me alone ",https://t.co/aFnxRyLDXM,,en,3,0,0,0,,
1233686591023058944,1091728677019287552,Sat Feb 29 09:32:58 +0000 2020,"Wisdom is Supreme So therefore, seek wisdom Dr. Herbert Wigwe GMDCEO Access Bank Mitchell Elegbe FounderGMD, Interswitch Odun Eweniyi CoFounder, PiggyVest Engr. Gbenga Adebayo Chairman, ALTON Dr. Israel Ovirih CEO, BankLink Africa Host HEF2020",https://t.co/IwxpKiDkIC,@pastorbolaji,en,60,27,8,0,,HEF2020
1232582153344618496,130764052,Wed Feb 26 08:24:20 +0000 2020,"I had a nice time yesterday at panel session at the , where I spoke alongside PiggyVest CoFounder amp COO  , VP Products , Founder, Smart Stewards and Kayode Oyewole on Creating Wealth in the Digital Age...SMWLagos",https://t.co/FisCd6bKOs,@piggybankng @SMWLagos @OdunEweniyi @LayoOgunbanwo @SolaAdesakin,en,30,6,0,1,,SMWLagos
1232702442623598592,1072158030056353794,Wed Feb 26 16:22:19 +0000 2020,Piggyvest is a such a clown ,,,en,15,1,8,0,,
1234536459828330501,46174525,Mon Mar 02 17:50:03 +0000 2020,Free Withdrawal month on piggyvest.,https://t.co/6FJ4qJdqLw,,en,1,0,1,0,,
1232661336800288769,102359952,Wed Feb 26 13:38:59 +0000 2020,Mo gba PiggyVest ni handicap. Moved my money from the account since yesterday. You people should leave me please.,https://t.co/a26aCtVIMt,,en,3,1,1,1,,
1233126615066054657,1032309123025719297,Thu Feb 27 20:27:50 +0000 2020,"I'm not doing auto save tomorrow, PiggyVest don't kill me. Let them take over on the leaderboard abeg",,,en,4,1,6,1,,
1235155749027934208,3167504633,Wed Mar 04 10:50:53 +0000 2020,"Saving on Piggyvest has been an awesome experience honestly. 2020 is not a year for careless spendings, try training yourself. Piggyvest can also be used to Invest securely. Sign up with this link and get 1,000 to start your own savings journey ",https://t.co/8xquEBTxLi,,en,3,0,0,0,,
1232700844434427906,3264380229,Wed Feb 26 16:15:58 +0000 2020,Uhm why did PiggyVest just send me a message beginning with Ooin,,,en,9,1,5,3,,
1233104222394224640,155858307,Thu Feb 27 18:58:51 +0000 2020,with PiggyVest you dont have to worry on depositing for someone after your share. adashi is just a rotation of your investment. so why not have a fixed deposit and time your savings,,,en,1,0,0,0,,
1232707739597627397,226303979,Wed Feb 26 16:43:22 +0000 2020,PiggyVest please dont sk me stupid questions ,https://t.co/GQZv04PSyA,,en,2,0,1,0,,
1233037872539803648,127019706,Thu Feb 27 14:35:12 +0000 2020,I always feel like saving money that I dont have in PiggyVest .,,,en,1,0,1,0,,
1234873291191570432,175055258,Tue Mar 03 16:08:30 +0000 2020,Oh today is my piggyvest withdrawal day,,,en,11,0,14,2,,
1235185510479532032,112705099,Wed Mar 04 12:49:08 +0000 2020,Current FD rates or Piggyvest safe lock,,,en,15,2,8,0,,
1233094548005572613,768272538,Thu Feb 27 18:20:24 +0000 2020,This is the reason I don't use the platform till date. I don't understand how it works. My former colleague schooled me on how to use Piggyvest for one week straight before I jumped in. I will download Cowrywise App when I'm educated enough on how it works and satisfied.,,,en,3,4,2,1,,
1230440670852190208,1017443644553515008,Thu Feb 20 10:34:51 +0000 2020,"Incase you use PiggyVest, and you are interested in investing there are two investment options currently open at 5000 per unit with a ROI of 8 and 14 respectively. Don't snooze on this.",https://t.co/hrOQwnzolg,,en,3,3,1,0,,
1229118699153625088,805409991968624640,Sun Feb 16 19:01:48 +0000 2020,"So, na only me never start to dey use PiggyVest",https://t.co/FsyvvEpo2J,,en,5,0,2,0,,
1232278181056479232,4714760909,Tue Feb 25 12:16:27 +0000 2020,C.T.O AppConnect,https://t.co/5SquySlVaN,@uncooloj,fr,59,19,4,5,,
1231930807306129408,4714760909,Mon Feb 24 13:16:07 +0000 2020,It's tomorrow Are you gonna be there,https://t.co/rFCmUuQfMf,,en,77,19,2,2,,
1232276711573729282,4714760909,Tue Feb 25 12:10:37 +0000 2020,Meet our Panelists  LR Kayode Oyewole SMWPiggyvest smwlagos Wealth Creation in This Digital Age.,https://t.co/LowWDHKSsW,@LayoOgunbanwo @SolaAdesakin @AyoBankole @OdunEweniyi,en,55,9,6,1,,SMWPiggyvest smwlagos
1229105953292902400,805409991968624640,Sun Feb 16 18:11:09 +0000 2020,Anyone using PiggyVest here,,,en,24,2,17,0,,
1228337649611612160,2243861953,Fri Feb 14 15:18:11 +0000 2020,"Piggyvest plis dear, who is shy",https://t.co/YzJItwySnh,,en,1,0,1,0,,
1230617125955481601,469298795,Thu Feb 20 22:16:01 +0000 2020,"I didnt skip my piggyvest and Cowrywise daily savings at all in January, but this month ehn, Money short like days of the month in febuary ",,,en,5,0,2,1,,
1229664398211518464,490727997,Tue Feb 18 07:10:13 +0000 2020,"Lài sè piggyvest, save what When is lunch break darling You are hearing from your dearest. Is the morning really really good",https://t.co/VhbTCp56vT,,en,0,1,1,0,,
1230026057480392704,761179953220190208,Wed Feb 19 07:07:19 +0000 2020,"Waking up to debit instead of credit alerts is the ghetto. First was iTunes bill, now piggyvest",https://t.co/mYw5aXlpib,,en,0,2,1,0,,
1231134790503583744,1224827089083338754,Sat Feb 22 08:33:02 +0000 2020,"Piggyvest, pls e kamdan ",,,tl,1,1,3,0,,
1228244778518708224,406870667,Fri Feb 14 09:09:09 +0000 2020,"All these years, everyone was shouting, 'learn to save money, Lucy save money,' I didn't know how people did it.. As we entered 2020, that's how the spirit fell on me, guess who is now saving every penny with PiggyVest  But that's until I think of food.. ",,,en,5,0,2,0,,PiggyVest
1228315592039505921,210018170,Fri Feb 14 13:50:32 +0000 2020,"N1 Million savings challenge and someone has already saved up N400,000 in less than 2 months. Nobody should tension me abeg. Anyway, you can join Millionaire December 2020 on PiggyVest SavingsChallenge",https://t.co/f62rYIcWLy,,en,1,0,0,0,,SavingsChallenge
1229805796323659776,363025475,Tue Feb 18 16:32:05 +0000 2020,Okay piggyvest what's up ,,,en,0,0,4,0,,
1230100629718228996,785193515819171840,Wed Feb 19 12:03:38 +0000 2020,"Piggyvest whyyyyyyyyyyy, THAT WAS MY LAST FUCKING CASHHH ",,,en,13,4,4,1,,
1230231904277889029,1910472013,Wed Feb 19 20:45:17 +0000 2020,No Piggyvest Not that fcking money  ,,,en,1,0,1,1,,
1229079157302333443,415725684,Sun Feb 16 16:24:40 +0000 2020,I need someone to explain to me in very simple English or in Igbohow this piggyvest works. ,,,en,1,0,2,0,,
1180436609256361985,4714760909,Sat Oct 05 10:56:33 +0000 2019,It will end in tears ,,,en,2885,1915,205,90,,
1216336589670027264,4714760909,Sun Jan 12 12:30:16 +0000 2020,Did you get interest ,,,en,6633,2176,245,109,,
1229393612657524736,1135299342267539456,Mon Feb 17 13:14:12 +0000 2020,Tell Jorja Smith that I'm saving my virginity inside piggyvest for her. I don't know how long I can wait.,,,en,2,3,1,0,,
1179819258001408000,4714760909,Thu Oct 03 18:03:25 +0000 2019,Congratulations to our 1960 Quicksave Challenge Winners ,https://t.co/NyCRCCEgs7,,en,28,6,26,13,,
1178015721722437633,768272538,Sat Sep 28 18:36:49 +0000 2019,"Just added another chunk to my 'Christmas balling money' inside my PiggyVest Safelock. Plus, I want to fly my mum to go see her mum my granny this Christmas, and plan to spend a week inside a beach side resort sipping wine and eating someone's work. Who else is saving",https://t.co/YyP1tD3WFY,,en,7,1,0,0,,
1172533609577746433,546100984,Fri Sep 13 15:32:51 +0000 2019,Monzo savings pot and PiggyVest's safe lock.,https://t.co/WlgQw1fUp0,,en,7,1,1,0,,
1176890727810420737,1189121912,Wed Sep 25 16:06:29 +0000 2019,Imagine PiggyVest or Cowrywise being hacked,,,en,12,7,19,17,,
1173137097386946560,956673297005019136,Sun Sep 15 07:30:54 +0000 2019,Cowrywise or piggyvest,,,ro,12,4,22,2,,
1177240713509113861,231043368,Thu Sep 26 15:17:12 +0000 2019,Is this Piggyvest advisable,,,en,4,0,14,1,,
1178153677703516160,134014237,Sun Sep 29 03:45:00 +0000 2019,Lemme sharply move this fund to piggyvest before beer enter am,,,en,4,0,5,1,,
1177555952616300545,806824410,Fri Sep 27 12:09:51 +0000 2019,"See my life , the Agricultural stuff I invested on in PiggyVest is just 24. I dey happy say I don jam pure one. As you don talk this new 34 own na, my chest kon dey pain me small small. ",,@Djamilmubaraq,en,1,1,1,2,,
1178598149600038912,137396195,Mon Sep 30 09:11:10 +0000 2019,To withdraw this money on piggyvest or not ,,,en,1,1,8,4,,
1176861317405270018,1083811769661960192,Wed Sep 25 14:09:37 +0000 2019,"WCW serves as the CoFounder at PiggyVest. She holds a degree in Computer Engineering and is passionate about encouraging solid investments and to this effect,",https://t.co/yhNm1LXmSa,@OdunEweniyi,en,3,2,1,0,,WCW investments
1176934176408449025,112789534,Wed Sep 25 18:59:08 +0000 2019,Make i unlink and remove my money from PiggyVest and the likes,,,en,0,0,2,0,,
1180230806083657731,847684211624468480,Fri Oct 04 21:18:46 +0000 2019,Piggyvest or cowrywise ,,,ro,1,0,8,1,,
1177867212889247744,2567114180,Sat Sep 28 08:46:41 +0000 2019,PiggyVest is the only thing on Nigeria that will tell you itll collect your money everyday by 6am and actually collect it ,,,en,262,51,11,3,,
1178204831716184065,1060953780991262721,Sun Sep 29 07:08:16 +0000 2019,"PiggyVest just took my last cash, wtf",,,en,9,0,6,0,,
1178442906123853825,1158803309257531392,Sun Sep 29 22:54:17 +0000 2019,Whats wrong with PiggyVest app abeg,,,en,4,0,3,1,,
1179742674477289475,4714760909,Thu Oct 03 12:59:06 +0000 2019,Let's do this ,,,en,87,26,9,3,,
1177279275839496192,1921427474,Thu Sep 26 17:50:26 +0000 2019,"I cant stress this enough, stop keeping funds in your bookies...withdraw them. I use PiggyVest to save money  You can visit the link to create a savings account",https://t.co/eOk7Udq7sH,,en,11,2,6,0,,
1177868788781522944,2567114180,Sat Sep 28 08:52:57 +0000 2019,Lmao  PiggyVest sends emails too o ,,,en,4,1,2,0,,
1176910132921405443,112705099,Wed Sep 25 17:23:36 +0000 2019,This one they are hacking these brands lately. PiggyVest should better behave.,,,en,773,281,83,45,,
1178459811601629185,1060953780991262721,Mon Sep 30 00:01:28 +0000 2019,"Opeyemi, you should be in bed  PiggyVest",,,en,4,0,0,0,,
1167535474153525250,41655764,Fri Aug 30 20:32:03 +0000 2019,"Josh from PiggyVest, please whats your business ",https://t.co/6XzyuvkKlW,,en,7,0,2,2,,
1172489113284595713,4714760909,Fri Sep 13 12:36:03 +0000 2019,You've picked the 5050 option. What's your answer,https://t.co/uJEdrLFEEC,,en,29,6,50,9,,
1166382599679500291,92386450,Tue Aug 27 16:10:56 +0000 2019,Visited with the wunderkind and also got to see the lovely at PiggyVest this afternoon and they are really doing amazing work Y'all need to download their app ASAP and get on the wave.,https://t.co/HunDCerfOc,@OdunEweniyi @LayoOgunbanwo,en,11,4,2,1,,
